,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
161,0.26,VS2,D,None,Ideal,Jul 12,Jul 13,62.9,./diamond-details/LD08112366,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08112366,None,True,1.01,Excellent,503,"$1,935",RD,Call,Call,[u'LD08112366'],Excellent,55.0
162,0.31,SI1,I,None,Ideal,Jul 12,Jul 13,61.4,./diamond-details/LD08208467,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08208467,None,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD08208467'],Excellent,57.0
163,0.35,SI2,F,None,Very Good,Jul 12,Jul 13,61.7,./diamond-details/LD08231516,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08231516,None,True,1.00,Very Good,503,"$1,437",RD,Call,Call,[u'LD08231516'],Very Good,57.0
164,0.35,SI2,F,None,Very Good,Jul 12,Jul 13,64.0,./diamond-details/LD08231525,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08231525,None,True,1.01,Excellent,503,"$1,437",RD,Call,Call,[u'LD08231525'],Good,55.0
165,0.29,VS2,F,None,Very Good,Jul 12,Jul 13,62.3,./diamond-details/LD08235482,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08235482,None,True,1.00,Very Good,503,"$1,734",RD,Call,Call,[u'LD08235482'],Good,56.0
166,0.30,SI2,D,None,Very Good,Jul 10,Jul 11,64.1,./diamond-details/LD08294205,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08294205,None,False,1.00,Excellent,503,"$1,677",RD,Call,Call,[u'LD08294205'],Excellent,58.0
167,0.30,SI1,F,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08391630,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08391630,None,False,1.01,Very Good,503,"$1,677",RD,Call,Call,[u'LD08391630'],Good,57.0
168,0.30,VVS2,I,None,Ideal,Jul 12,Jul 13,61.3,./diamond-details/LD08395843,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08395843,Strong,True,1.00,Excellent,503,"$1,677",RD,Call,Call,[u'LD08395843'],Excellent,57.0
169,0.31,SI1,I,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08414541,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08414541,None,False,1.01,Excellent,503,"$1,623",RD,Call,Call,[u'LD08414541'],Excellent,57.0
170,0.30,SI2,F,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08507935,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08507935,None,False,1.01,Excellent,503,"$1,677",RD,Call,Call,[u'LD08507935'],Excellent,60.0
171,0.30,SI1,E,None,Very Good,Jul 12,Jul 13,63.6,./diamond-details/LD08553593,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08553593,None,False,1.01,Excellent,503,"$1,677",RD,Call,Call,[u'LD08553593'],Very Good,59.0
172,0.34,SI2,J,None,Ideal,Jul 10,Jul 11,60.4,./diamond-details/LD08592557,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08592557,None,False,1.00,Very Good,503,"$1,479",RD,Call,Call,[u'LD08592557'],Excellent,58.0
173,0.31,SI2,G,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08624154,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08624154,None,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD08624154'],Excellent,57.0
174,0.31,VS1,J,None,Very Good,Jul 12,Jul 13,60.0,./diamond-details/LD08675583,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08675583,None,False,1.01,Very Good,503,"$1,623",RD,Call,Call,[u'LD08675583'],Good,62.0
175,0.31,SI1,I,None,Ideal,Jul 12,Jul 13,60.3,./diamond-details/LD08681666,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08681666,None,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD08681666'],Excellent,61.0
176,0.30,VS2,I,None,Very Good,Jul 12,Jul 13,62.5,./diamond-details/LD08682077,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08682077,None,False,1.00,Excellent,503,"$1,677",RD,Call,Call,[u'LD08682077'],Excellent,57.0
177,0.34,SI2,H,None,Ideal,Jul 12,Jul 13,62.2,./diamond-details/LD08741141,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08741141,Faint,False,1.00,Very Good,503,"$1,479",RD,Call,Call,[u'LD08741141'],Excellent,58.0
178,0.30,SI2,H,None,Ideal,Jul 10,Jul 11,61.2,./diamond-details/LD08792566,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08792566,Faint,False,1.01,Excellent,503,"$1,677",RD,Call,Call,[u'LD08792566'],Excellent,60.0
179,0.30,SI2,D,None,Very Good,Jul 12,Jul 13,59.0,./diamond-details/LD08797789,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08797789,Faint,False,1.00,Excellent,503,"$1,677",RD,Call,Call,[u'LD08797789'],Excellent,63.0
180,0.31,SI1,I,None,Ideal,Jul 12,Jul 13,62.1,./diamond-details/LD08804606,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08804606,None,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD08804606'],Excellent,57.0
181,0.30,SI1,F,None,Ideal,Jul 12,Jul 13,62.2,./diamond-details/LD08808436,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08808436,None,False,1.01,Excellent,503,"$1,677",RD,Call,Call,[u'LD08808436'],Excellent,55.0
182,0.31,SI2,I,None,Ideal,Jul 10,Jul 11,62.0,./diamond-details/LD08813264,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08813264,None,False,1.00,Very Good,503,"$1,623",RD,Call,Call,[u'LD08813264'],Very Good,56.0
183,0.31,SI2,H,None,Ideal,Jul 12,Jul 13,60.2,./diamond-details/LD08816012,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08816012,None,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD08816012'],Excellent,57.0
